iter	Logloss
0	0.6842313701
1	0.6755660746
2	0.6654778834
3	0.6556064151
4	0.6471900045
5	0.6405624227
6	0.6324078378
7	0.6237592139
8	0.6186448447
9	0.6105992023
10	0.600581551
11	0.5912982883
12	0.5823258818
13	0.575018692
14	0.5681982155
15	0.5607143673
16	0.5545298748
17	0.5468402787
18	0.5409451131
19	0.5330009482
20	0.5268821005
21	0.5206974217
22	0.5140258882
23	0.5074704537
24	0.5020258748
25	0.4957592437
26	0.4904904497
27	0.4852197255
28	0.4784028173
29	0.4732072339
30	0.467344586
31	0.4620626307
32	0.4537572979
33	0.4484530914
34	0.4436039081
35	0.4379475343
36	0.4337439555
37	0.428435028
38	0.4235839294
39	0.4204301586
40	0.4148803141
41	0.4079415313
42	0.4036781472
43	0.3987715973
44	0.3939311792
45	0.389076481
46	0.3838346791
47	0.3797051278
48	0.3759290264
49	0.3720406323
50	0.3682914103
51	0.3640089832
52	0.3596121651
53	0.3561397647
54	0.350987233
55	0.3467770722
56	0.3420810721
57	0.3389970506
58	0.3353012904
59	0.3320659485
60	0.3281937611
61	0.3240732806
62	0.3193136375
63	0.3162833581
64	0.3132862172
65	0.3102869944
66	0.3066660238
67	0.3034591298
68	0.2989760023
69	0.2957995433
70	0.2921632306
71	0.2886592128
72	0.2856885177
73	0.2831972166
74	0.2794566201
75	0.2758481312
76	0.2727870999
77	0.2694387019
78	0.2669220394
79	0.2643531611
80	0.2616315118
81	0.2585729504
82	0.2553930168
83	0.2526015015
84	0.2498198927
85	0.2476803624
86	0.2455066981
87	0.2424581776
88	0.2397120803
89	0.2374390493
90	0.2353102917
91	0.2327434148
92	0.2311124873
93	0.2291916831
94	0.2270659682
95	0.2243267025
96	0.2218643614
97	0.2192376242
98	0.2168446305
99	0.2142130373
100	0.2120204015
101	0.2095583842
102	0.2073907213
103	0.2047446823
104	0.2024563917
105	0.2007394203
106	0.1986500362
107	0.1963911207
108	0.1945207356
109	0.1920806112
110	0.1896727724
111	0.1873158281
112	0.1855528549
113	0.1837727679
114	0.1820870114
115	0.1804246227
116	0.1790150461
117	0.1776065238
118	0.1753554955
119	0.1741214488
120	0.1724718946
121	0.171327285
122	0.1696914793
123	0.1677501503
124	0.1657886139
